test_method,detected_smells
"@Test
    public void testGetIntFromString() throws Throwable {
        Function<String, Integer> f = helper.getConstructor(Integer.class, String.class);
        assertEquals(Integer.valueOf(2), f.apply(""2""));
    }",No Smells
"@Test
    public void testSetValueCreatingList() {
        Map<String, Object> map = new HashMap<>();
        helper.setValueForIn(""1"", ""list[0]"", map);
        List list = (List) map.get(""list"");
        assertEquals(""1"", list.get(0));

        helper.setValueForIn(""2"", ""list[1].nested"", map);
        Map<String, Object> secondListElement = (Map<String, Object>) list.get(1);
        assertEquals(""2"", secondListElement.get(""nested""));

        helper.setValueForIn(""3"", ""list[1].nested"", map);
        assertEquals(""3"", secondListElement.get(""nested""));

        helper.setValueForIn(""4"", ""list[1].nested2[0].nested3"", map);
        assertEquals(""4"", ((Map) ((List) secondListElement.get(""nested2"")).get(0)).get(""nested3""));

        helper.setValueForIn(""5"", ""list2[0].nested"", map);
        List list2 = (List) map.get(""list2"");
        Map<String, Object> thirdListElement = (Map<String, Object>) list2.get(0);
        assertEquals(""5"", thirdListElement.get(""nested""));

        assertEquals(""first element changed"",""1"", list.get(0));
    }",No Smells
"@Test
    public void addDuplicatePrefixNullUriFirst() {
        String prefix = ""p2"";
        String uri = ""aadsad2"";

        impl.add(prefix, null);
        assertNull(impl.getNamespaceURI(prefix));

        impl.add(prefix, uri);
        assertEquals(uri, impl.getNamespaceURI(prefix));
    }",No Smells
"@Test
    public void addDuplicatePrefixOtherUri() {
        String prefix = ""p2"";
        String uri = ""aadsad2"";
        String uri2 = ""asdad"";
        impl.add(prefix, uri);
        
        try {
            impl.add(prefix, uri2);
            fail(""expected exception"");
        }",No Smells
"@Test
    public void testLowerCaseString() {
        for (int i = 0; i < 1000; i++) {
            String result = util.randomLower(10);
            assertEquals(10, result.length());
            assertEquals(result.toLowerCase(), result);
        }",Eager Test
"@Test
    public void testNestedLevel() {
        Map<String, Object> result = masker.replaceSecrets(Collections.singleton(""a""), map);
        assertNotSame(map, result);
        assertEquals(""{one=1, two=2, three=3, nested={a=*****, one=true, two=false}",No Smells
"@Test
    public void testSubMap() {
        Map<String, Object> result = masker.replaceSecrets(Arrays.asList(""nested"", ""one""), map);
        assertNotSame(map, result);
        assertEquals(""{one=*****, two=2, three=3, nested=*****}",No Smells
"@Test
    public void testTopLevel() {
        Map<String, Object> result = masker.replaceSecrets(Collections.singleton(""three""), map);
        assertNotSame(map, result);
        assertEquals(""{one=1, two=2, three=*****, nested={a=A, one=true, two=false}",No Smells
"@Test
    public void testNormalizedText() {
        assertEquals("""", getNormalizedText(""""));
        assertEquals("" "", getNormalizedText(""   \n ""));

        assertEquals(""Hallo"", getNormalizedText(""Hallo""));
        assertEquals("" Ha l lo "", getNormalizedText(""  Ha  l\n lo   ""));
        assertEquals("" Ha l lo "", getNormalizedText(""  Ha  l\n \u00a0lo   ""));
        assertEquals("" Ha l lo "", getNormalizedText(""  Ha  l\n \u00a0\u00a0\u00a0 lo   \u00a0""));
    }",No Smells
"@Test
    public void testFindChromedriverExecutable() {
        String exec = factoryFactory.getExecutable(""chromedriver"");

        assertNotNull(""No executable found for chromedriver"", exec);
        File execFile = new File(exec);
        assertTrue(""Executable for chromedriver does not exist: "" + exec, execFile.exists());
        assertTrue(""Executable for chromedriver not executable: "" + exec, execFile.canExecute());
    }",Mystery Guest + Resource Optimism
"@Test
    public void testNoThrow() {
        Object result = callFunction(x -> callThatMightThrow(x), true);
        assertEquals(Boolean.TRUE, result);
    }",No Smells
"@Test
    public void testThrowRuntime() {
        try {
            Object result = callFunction(x -> callThatMightThrow(x), false);
            fail(""expected exception, got: "" + result);
        }",No Smells
"@Test
    public void testTrimElements() {
        String expected = FileUtil.loadFile(""GetWeatherSoapResponse.xml"");
        String formatted = FileUtil.loadFile(""GetWeatherSoapResponseFormatted.xml"");

        String trimmed = XMLFormatter.trimElements(formatted);

        assertEquals(expected, trimmed);
        assertEquals(expected, XMLFormatter.trimElements(trimmed));
    }",Mystery Guest + Resource Optimism
"@Test
    public void testCheckXPathsIncorrect() {
        XmlHttpResponse resp = getOKResponse();

        Map<String, Object> values = new HashMap<String, Object>();
        values.put(""amount"", ""12"");
        values.put(""result"", ""1"");
        values.put(""status"", ""OK"");

        Map<String, String> expressionsToCheck = createExprToCheck();
        expressionsToCheck.put(""//*[local-name()='errorStatus']"", ""unknownKey"");
        expressionsToCheck.put(""//noMatchXPath"", ""status"");

        String expected = SoapCallMapColumnFixture.NO_ESCAPE_PREFIX
                            + ""NOK:\n<ul>\n""
                            + "" <li>amount: 12 <> 158.86</li>\n""
                            + "" <li>result: 1 <> 13.44</li>\n""
                            + "" <li>unknownKey: null <> OK</li>\n""
                            + "" <li>status: OK <> null</li>\n""
                            + ""</ul>"";
        XPathCheckResult checkResult = resp.checkXPaths(values, expressionsToCheck);
        assertEquals(""NOK"", checkResult.getResult());
        assertEquals(expected, checkResult.getMismatchDetail());
    }",No Smells
"@Test
    public void testRootNotClosed() {
        String xml = ""<root><child/><child2>a</child2></root"";
        int endPos = xml.length() + 1;
        checkNotOk(xml, String.valueOf(endPos));
    }",No Smells
"@Test
    public void testParse() {
        XPathCheckResult checkResult = new XPathCheckResult();
        XPathCheckResult checkResult2 = XPathCheckResult.parse(""OK"");
        resultsMatch(checkResult, checkResult2);
        
        checkResult.setMismatchDetail(""NOK: a"");
        checkResult2 = XPathCheckResult.parse(""NOK"");
        resultsMatch(checkResult, checkResult2);

        checkResult2 = XPathCheckResult.parse(""OK"");
        resultsDontMatch(checkResult, checkResult2);
    }",No Smells
"@Test
    public void testAllXmlNoText() {
        LalPolicyXPaths.registerNamespace();
        String responseString = FileUtil.loadFile(""leanapps/getPolicyCheckResponse.xml"");
        List<String> all = xPathHelper.getAllXPath(NS_CONTEXT, responseString, ""//*/@xsi:type"");

        assertEquals(13, all.size());
        assertEquals(""ns:PostalAddress"", all.get(1));
    }",Mystery Guest + Resource Optimism
"@Test
    public void testAllXmlWithText() {
        LalPolicyXPaths.registerNamespace();
        String responseString = FileUtil.loadFile(""leanapps/getPolicyCheckResponse.xml"");
        List<String> all = xPathHelper.getAllXPath(NS_CONTEXT, responseString, ""//lal:key/text()"");

        assertEquals(17, all.size());
        assertEquals(""20000541"", all.get(0));
    }",No Smells
"@Test
    public void testBadXml() {
        try {
            xPathHelper.getXPath(null, ""bla"", ""//status"");
            fail(""expected exception"");
        }",No Smells
"@Test
    public void testBadXPath() {
        String responseString = FileUtil.loadFile(""leanapps/getPolicyCheckResponse.xml"");
        assertEquals("""", xPathHelper.getXPath(null, responseString, ""//status""));
        try {
            xPathHelper.getXPath(null, responseString, ""\\status"");
            fail(""expected exception"");
        }",Mystery Guest + Resource Optimism
"@Test
    public void testXPathWithNamespace() {
        LalPolicyXPaths.registerNamespace();
        String responseString = FileUtil.loadFile(""leanapps/getPolicyCheckResponse.xml"");
        assertEquals(""OK"", xPathHelper.getXPath(NS_CONTEXT, responseString, ""//lal:status/lal:status""));
    }",Mystery Guest + Resource Optimism
"@Test
    public void testFindTestResultPages() throws Exception {
        String path = getTestReportsPath();
        List<TestReportHtml> reports = new ReportFinder().findTestResultPages(new File(path));
        List<TestReportHtml> overviews = reports.stream().filter(TestReportHtml::isOverviewPage).collect(Collectors.toList());
        assertEquals(""Unexpected number of run: "" + overviews, 3, overviews.size());
        assertEquals(""Unexpected number of results"", EXPECTED_TEST_COUNT, reports.size());

        TestReportHtml mockXmlServerTest = getReport(reports, ""MockXmlServerTest"", ""MockXmlServerTest"");
        assertEquals(-1, mockXmlServerTest.getTime());
        assertEquals(Integer.MAX_VALUE - 2, mockXmlServerTest.getIndex());
        TestReportHtml mockXmlSuiteSetup = getReport(reports, ""MockXmlServerTest"", ""SuiteSetUp"");
        assertEquals(Integer.MAX_VALUE - 3, mockXmlSuiteSetup.getIndex());

        assertTrue(reports.stream().filter(r -> !""MockXmlServerTest"".equals(r.getRunName())).noneMatch(r -> r.getTime() == -1));

        TestReportHtml fitOverview = getActual(overviews, ""Fit"");
        assertEquals(0, fitOverview.getTime());
        assertEquals(Integer.MAX_VALUE, fitOverview.getIndex());
        assertEquals(2400, getActual(overviews, ""Http"").getTime());
        assertEquals(2075, getActual(overviews, ""Util"").getTime());

        TestReportHtml fitSuiteSetup = getReport(reports, ""Fit"", ""SuiteSetUp"");
        assertEquals(0, fitSuiteSetup.getIndex());
        TestReportHtml fitArraysAndSymbols = getReport(reports, ""Fit"", ""ArraysAndSymbolsComparison"");
        assertEquals(1, fitArraysAndSymbols.getIndex());
        TestReportHtml fitReturn = getReport(reports, ""Fit"", ""ReturnArrayAsSymbol"");
        assertEquals(2, fitReturn.getIndex());
    }",Mystery Guest
"@Test
    public void testSupportNull() {
        System.clearProperty(SeleniumDriverFactoryFactoryBase.SELENIUM_BROWSER);
        assertNull(factoryFactory.getProperty(SeleniumDriverFactoryFactoryBase.SELENIUM_BROWSER));
    }",No Smells
"@Test
    public void testWithSpace() {
        setBrowser(""internet explorer"");
        assertEquals(""internet explorer"", factoryFactory.getProperty(SeleniumDriverFactoryFactoryBase.SELENIUM_BROWSER));
    }",No Smells
"@Test
    public void testWithSpaceAndQuotes() {
        setBrowser(""\""internet explorer\"""");
        assertEquals(""internet explorer"", factoryFactory.getProperty(SeleniumDriverFactoryFactoryBase.SELENIUM_BROWSER));
    }",No Smells
"@Test
    public void testFromStringFilled() {
        List<String> expected = Arrays.asList(""b"", ""c"", ""d"");
        assertEquals(expected, converter.fromString(""<ol start=\""0\""> <li>   b </li> <li>   c </li><li>d</li></ol>""));
        assertEquals(expected, converter.fromString(""<ol> <li>   b </li> <li>   c </li><li>d</li></ol>""));
    }",No Smells
"@Test
    public void testToStringEmpty() {
        assertEquals(""<ol start=\""0\""></ol>"", converter.toString(new ArrayList<Object>()));
    }",No Smells
"@Test
    public void testToStringFilled() {
        ArrayList<Object> list = new ArrayList<>(Arrays.asList(""b"", ""c"", ""d"", null));
        assertEquals(""<ol start=\""0\""><li>b</li><li>c</li><li>d</li><li>null</li></ol>"", converter.toString(list));
    }",No Smells
"@Test
  public void testAcceptAsync(TestContext tc) {
    Async async = tc.async();

    vertx.runOnContext(x -> {
      VertxCompletableFuture<Integer> future = new VertxCompletableFuture<>(vertx);
      future.complete(42);

      String thread = Thread.currentThread().getName();

      future.thenAcceptAsync(i -> {
        tc.assertEquals(thread, Thread.currentThread().getName());
        tc.assertEquals(42, i);
        async.complete();
      }",No Smells
"@Test
  public void testAcceptEither(TestContext tc) {
    // Success and success
    Async async1 = tc.async();
    Async async11 = tc.async();
    // Failure and Success
    Async async2 = tc.async();
    // Success and Failure
    Async async3 = tc.async();

    VertxCompletableFuture<Integer> success = new VertxCompletableFuture<>(vertx);
    success.complete(1);

    VertxCompletableFuture<Integer> success2 = new VertxCompletableFuture<>(vertx);
    vertx.setTimer(500, l -> success2.complete(42));


    VertxCompletableFuture<Integer> failure = new VertxCompletableFuture<>(vertx);
    failure.completeExceptionally(new RuntimeException(""My bad""));

    vertx.runOnContext(v -> {
      String thread = Thread.currentThread().getName();

      success.acceptEither(
        success2,
        i -> {
          tc.assertEquals(thread, Thread.currentThread().getName());
          tc.assertEquals(i, 1);
          async1.complete();
        }",No Smells
"@Test
  public void testAcceptEitherAsync(TestContext tc) {
    // Success and success
    Async async1 = tc.async();
    Async async11 = tc.async();
    // Failure and Success
    Async async2 = tc.async();
    // Success and Failure
    Async async3 = tc.async();

    VertxCompletableFuture<Integer> success = new VertxCompletableFuture<>(vertx);
    success.complete(1);

    VertxCompletableFuture<Integer> success2 = new VertxCompletableFuture<>(vertx);
    vertx.setTimer(100, l -> success2.complete(42));


    VertxCompletableFuture<Integer> failure = new VertxCompletableFuture<>(vertx);
    failure.completeExceptionally(new RuntimeException(""My bad""));

    vertx.runOnContext(v -> {
      String thread = Thread.currentThread().getName();

      success.withContext().acceptEitherAsync(
        success2,
        i -> {
          tc.assertEquals(thread, Thread.currentThread().getName());
          tc.assertEquals(i, 1);
          async1.complete();
        }",No Smells
"@Test
  public void testApplyToEither(TestContext tc) {
    // Success and success
    Async async1 = tc.async();
    Async async11 = tc.async();
    // Failure and Success
    Async async2 = tc.async();
    // Success and Failure
    Async async3 = tc.async();

    VertxCompletableFuture<Integer> success = new VertxCompletableFuture<>(vertx);
    success.complete(1);

    VertxCompletableFuture<Integer> success2 = new VertxCompletableFuture<>(vertx);
    vertx.setTimer(100, l -> success2.complete(42));


    VertxCompletableFuture<Integer> failure = new VertxCompletableFuture<>(vertx);
    failure.completeExceptionally(new RuntimeException(""My bad""));

    vertx.runOnContext(v -> {
      String thread = Thread.currentThread().getName();

      success.applyToEither(
        success2,
        i -> {
          tc.assertEquals(thread, Thread.currentThread().getName());
          tc.assertEquals(i, 1);
          return i + 1;
        }",No Smells
"@Test
  public void testCombineAsyncWithExecutor(TestContext tc) {
    Async async = tc.async();

    VertxCompletableFuture<Integer> future2 = new VertxCompletableFuture<>(vertx);
    future2.complete(1);

    vertx.runOnContext(v -> {
      String thread = Thread.currentThread().getName();

      VertxCompletableFuture<Integer> future1 = new VertxCompletableFuture<>(vertx);
      future1.complete(42);

      CompletableFuture<Integer> test = future1.thenCombineAsync(future2, (x, y) -> {
        tc.assertNotEquals(thread, Thread.currentThread().getName());
        tc.assertEquals(42, x);
        tc.assertEquals(1, y);
        return x + y;
      }",No Smells
"@Test
  public void testCombineFailurePropagation(TestContext tc) {
    Async async0 = tc.async();
    Async async1 = tc.async();
    CompletableFuture<Integer> failure1 = new VertxCompletableFuture<>(vertx);
    CompletableFuture<Integer> failure2 = new VertxCompletableFuture<>(vertx);

    VertxCompletableFuture<Integer> future1 = new VertxCompletableFuture<>(vertx);
    future1.complete(42);

    VertxCompletableFuture<Integer> future2 = new VertxCompletableFuture<>(vertx);
    future2.complete(1);


    failure1.thenCombine(failure2, (a, b) -> {
      tc.fail(""Should not be called"");
      return 0;
    }",No Smells
"@Test
  public void testCombineWithFailures(TestContext tc) {
    // Success and success
    Async async1 = tc.async();
    // Failure and success
    Async async2 = tc.async();
    // Success and Failure
    Async async3 = tc.async();
    // Failure and failure
    Async async4 = tc.async();

    VertxCompletableFuture<Integer> success1 = new VertxCompletableFuture<>(vertx);
    VertxCompletableFuture<Integer> success2 = new VertxCompletableFuture<>(vertx);
    VertxCompletableFuture<Integer> failure1 = new VertxCompletableFuture<>(vertx);
    VertxCompletableFuture<Integer> failure2 = new VertxCompletableFuture<>(vertx);

    vertx.runOnContext(v -> {
      String thread = Thread.currentThread().getName();

      success1.thenCombine(success2, (x, y) -> {
        tc.assertEquals(thread, Thread.currentThread().getName());
        tc.assertEquals(42, x);
        tc.assertEquals(1, y);
        return x + y;
      }",No Smells
"@Test
  public void testExceptionally(TestContext tc) {
    Async async1 = tc.async();
    Async async2 = tc.async();

    VertxCompletableFuture<Integer> failure = new VertxCompletableFuture<>(vertx);
    VertxCompletableFuture<Integer> success = new VertxCompletableFuture<>(vertx);

    failure.exceptionally(t -> 43).thenAccept(i -> {
      tc.assertEquals(i, 43);
      async1.complete();
    }",No Smells
"@Test
  public void testFromCompletableStageJavadoc() {
    VertxCompletableFuture<Integer> future = new VertxCompletableFuture<>(vertx);
    future
      .thenApply(this::square)
      .thenAccept(System.out::print)
      .thenRun(System.out::println);

    future.complete(42);

  }",No Smells
"@Test
  public void testRun(TestContext tc) {
    Async async = tc.async();

    VertxCompletableFuture<Integer> future = new VertxCompletableFuture<>(vertx);
    future.complete(42);

    vertx.runOnContext(x -> {
      String thread = Thread.currentThread().getName();

      future.thenRun(() -> {
        tc.assertEquals(thread, Thread.currentThread().getName());
        async.complete();
      }",No Smells
"@Test
  public void testRunAsync(TestContext tc) {
    Async async = tc.async();

    vertx.runOnContext(x -> {
      VertxCompletableFuture<Integer> future = new VertxCompletableFuture<>(vertx);
      future.complete(42);

      String thread = Thread.currentThread().getName();

      future.thenRunAsync(() -> {
        tc.assertEquals(thread, Thread.currentThread().getName());
        async.complete();
      }",No Smells
"@Test
  public void testWhenCompleteAsync(TestContext tc) {
    Async async1 = tc.async();
    Async async2 = tc.async();

    VertxCompletableFuture<Integer> first = new VertxCompletableFuture<>(vertx);
    first
      .thenApply(x -> x + 1)
      .thenApplyAsync(i -> Integer.toString(i))
      .thenCompose(this::display)
      .whenCompleteAsync((res, err) -> {
        tc.assertTrue(Context.isOnEventLoopThread());
        tc.assertNull(err);
        tc.assertEquals(res, ""Result: "" + 43);
        async1.complete();
      }",No Smells
"@Test
  public void testKeyRequeuedOnResetIfEventsArePending() throws IOException {
    AbstractWatchService.Key key =
        watcher.register(new StubWatchable(), ImmutableSet.of(ENTRY_CREATE));
    key.post(new AbstractWatchService.Event<>(ENTRY_CREATE, 1, null));
    key.signal();

    key = (AbstractWatchService.Key) watcher.poll();
    assertThat(watcher.queuedKeys()).isEmpty();

    assertThat(key.pollEvents()).hasSize(1);

    key.post(new AbstractWatchService.Event<>(ENTRY_CREATE, 1, null));
    assertThat(watcher.queuedKeys()).isEmpty();

    key.reset();
    assertThat(key.state()).isEqualTo(SIGNALLED);
    assertThat(watcher.queuedKeys()).hasSize(1);
  }",No Smells
"@Test
  public void testPostEvent() throws IOException {
    AbstractWatchService.Key key =
        watcher.register(new StubWatchable(), ImmutableSet.of(ENTRY_CREATE));

    AbstractWatchService.Event<Path> event =
        new AbstractWatchService.Event<>(ENTRY_CREATE, 1, null);
    key.post(event);
    key.signal();

    assertThat(watcher.queuedKeys()).containsExactly(key);

    WatchKey retrievedKey = watcher.poll();
    assertThat(retrievedKey).isEqualTo(key);

    List<WatchEvent<?>> events = retrievedKey.pollEvents();
    assertThat(events).hasSize(1);
    assertThat(events.get(0)).isEqualTo(event);

    // polling should have removed all events
    assertThat(retrievedKey.pollEvents()).isEmpty();
  }",No Smells
"@Test
  public void testGetAttribute_failsForAttributesNotDefinedByProvider() {
    File file = createFile();
    try {
      service.getAttribute(file, ""test:blah"");
      fail();
    }",Mystery Guest
"@Test
  public void testGetFileAttributeView_isNullForUnsupportedView() {
    final File file = createFile();
    FileLookup fileLookup =
        new FileLookup() {
          @Override
          public File lookup() throws IOException {
            return file;
          }",Mystery Guest
"@Test
  public void testReadAttributes_asObject() {
    File file = createFile();
    service.setInitialAttributes(file);

    BasicFileAttributes basicAttrs = service.readAttributes(file, BasicFileAttributes.class);
    assertThat(basicAttrs.fileKey()).isEqualTo(0);
    assertThat(basicAttrs.isDirectory()).isTrue();
    assertThat(basicAttrs.isRegularFile()).isFalse();

    TestAttributes testAttrs = service.readAttributes(file, TestAttributes.class);
    assertThat(testAttrs.foo()).isEqualTo(""hello"");
    assertThat(testAttrs.bar()).isEqualTo(0);
    assertThat(testAttrs.baz()).isEqualTo(1);

    file.setAttribute(""test"", ""baz"", 100);
    assertThat(service.readAttributes(file, TestAttributes.class).baz()).isEqualTo(100);
  }",Mystery Guest
"@Test
  public void testReadAttributes_failsForUnsupportedAttributesType() {
    File file = createFile();
    try {
      service.readAttributes(file, PosixFileAttributes.class);
      fail();
    }",Mystery Guest
"@Test
  public void testSetAttribute_failsForAttributeThatIsNotSettable() {
    File file = createFile();
    try {
      service.setAttribute(file, ""test:foo"", ""world"", false);
      fail();
    }",Mystery Guest
"@Test
  public void testSetAttribute_onCreate_failsForAttributeThatIsNotSettableOnCreate() {
    File file = createFile();
    try {
      service.setInitialAttributes(file, new BasicFileAttribute<>(""test:foo"", ""world""));
      fail();
    }",Mystery Guest
"@Test
  public void testSupportsFileAttributeView() {
    assertThat(service.supportsFileAttributeView(BasicFileAttributeView.class)).isTrue();
    assertThat(service.supportsFileAttributeView(TestAttributeView.class)).isTrue();
    assertThat(service.supportsFileAttributeView(PosixFileAttributeView.class)).isFalse();
  }",No Smells
"@Test
  public void testDefaultWindowsConfiguration() {
    Configuration config = Configuration.windows();

    assertThat(config.pathType).isEqualTo(PathType.windows());
    assertThat(config.roots).containsExactly(""C:\\"");
    assertThat(config.workingDirectory).isEqualTo(""C:\\work"");
    assertThat(config.nameCanonicalNormalization).containsExactly(CASE_FOLD_ASCII);
    assertThat(config.nameDisplayNormalization).isEmpty();
    assertThat(config.pathEqualityUsesCanonicalForm).isTrue();
    assertThat(config.blockSize).isEqualTo(8192);
    assertThat(config.maxSize).isEqualTo(4L * 1024 * 1024 * 1024);
    assertThat(config.maxCacheSize).isEqualTo(-1);
    assertThat(config.attributeViews).containsExactly(""basic"");
    assertThat(config.attributeProviders).isEmpty();
    assertThat(config.defaultAttributeValues).isEmpty();
    assertThat(config.fileTimeSource).isEqualTo(SystemFileTimeSource.INSTANCE);
  }",No Smells
"@Test
  public void testSetDefaultAttributeValue_illegalAttributeFormat() {
    try {
      Configuration.unix().toBuilder().setDefaultAttributeValue(""foo"", 1);
      fail();
    }",No Smells
"@Test
  public void testSettingRootsUnsupportedByPathType() {
    assertIllegalRoots(PathType.unix(), ""\\"");
    assertIllegalRoots(PathType.unix(), ""/"", ""\\"");
    assertIllegalRoots(PathType.windows(), ""/"");
    assertIllegalRoots(PathType.windows(), ""C:""); // must have a \ (or a /)
  }",No Smells
"@Test
  public void testSettingWorkingDirectoryWithRelativePath() {
    try {
      Configuration.unix().toBuilder().setWorkingDirectory(""foo/bar"");
      fail();
    }",No Smells
"@Test
  public void testGet() {
    assertThat(root.get(Name.simple(""foo""))).isEqualTo(entry(root, ""foo"", dir));
    assertThat(dir.get(Name.simple(""foo""))).isNull();
    assertThat(root.get(Name.simple(""Foo""))).isNull();
  }",No Smells
"@Test
  public void testManyPutsAndRemoves() {
    // test resizing/rehashing

    Set<DirectoryEntry> entriesInDir = new HashSet<>();
    entriesInDir.add(new DirectoryEntry(dir, Name.SELF, dir));
    entriesInDir.add(new DirectoryEntry(dir, Name.PARENT, root));

    // add 1000 entries
    for (int i = 0; i < 1000; i++) {
      DirectoryEntry entry = entry(String.valueOf(i));
      dir.put(entry);
      entriesInDir.add(entry);

      assertThat(ImmutableSet.copyOf(dir)).isEqualTo(entriesInDir);

      for (DirectoryEntry expected : entriesInDir) {
        assertThat(dir.get(expected.name())).isEqualTo(expected);
      }",Eager Test
"@Test
  public void testPutAndGet() {
    dir.put(entry(""foo""));

    assertThat(dir.entryCount()).isEqualTo(3);
    assertThat(ImmutableSet.copyOf(dir)).contains(entry(""foo""));
    assertThat(dir.get(Name.simple(""foo""))).isEqualTo(entry(""foo""));

    dir.put(entry(""bar""));

    assertThat(dir.entryCount()).isEqualTo(4);
    assertThat(ImmutableSet.copyOf(dir)).containsAtLeast(entry(""foo""), entry(""bar""));
    assertThat(dir.get(Name.simple(""foo""))).isEqualTo(entry(""foo""));
    assertThat(dir.get(Name.simple(""bar""))).isEqualTo(entry(""bar""));
  }",No Smells
"@Test
  public void testRootDirectory() {
    assertThat(root.entryCount()).isEqualTo(3); // two for parent/self, one for dir
    assertThat(root.isEmpty()).isFalse();
    assertThat(root.entryInParent()).isEqualTo(entry(root, ""/"", root));
    assertThat(root.entryInParent().name()).isEqualTo(Name.simple(""/""));

    assertParentAndSelf(root, root, root);
  }",No Smells
"@Test
  public void testSnapshot() {
    root.link(Name.simple(""bar""), regularFile(10));
    root.link(Name.simple(""abc""), regularFile(10));

    // does not include . or .. and is sorted by the name
    assertThat(root.snapshot())
        .containsExactly(Name.simple(""abc""), Name.simple(""bar""), Name.simple(""foo""))
        .inOrder();
  }",No Smells
"@Test
  public void testUnlink_parentAndSelfNameFails() {
    try {
      dir.unlink(Name.simple("".""));
      fail();
    }",No Smells
"@Test
  public void testClose_multipleTimesDoNothing() throws IOException {
    state.close();
    assertEquals(1, onClose.runCount);
    state.close();
    state.close();
    assertEquals(1, onClose.runCount);
  }",No Smells
"@Test
  public void testFileBasics() {
    File file = regularFile(0);

    assertThat(file.id()).isEqualTo(0);
    assertThat(file.links()).isEqualTo(0);
  }",Mystery Guest
"@Test
  public void testRegularFile() {
    File file = regularFile(10);
    assertThat(file.isDirectory()).isFalse();
    assertThat(file.isRegularFile()).isTrue();
    assertThat(file.isSymbolicLink()).isFalse();
  }",Mystery Guest
"@Test
  public void testLookup_absolute_finalSymlink_nofollowLinks() throws IOException {
    assertExists(lookup(""/work/four/five"", NOFOLLOW_LINKS), ""four"", ""five"");
    assertExists(lookup(""/work/four/six"", NOFOLLOW_LINKS), ""four"", ""six"");
    assertExists(lookup(""/work/four/loop"", NOFOLLOW_LINKS), ""four"", ""loop"");
  }",Mystery Guest
"@Test
  public void testLookup_absolute_intermediateSymlink() throws IOException {
    assertExists(lookup(""/work/four/five/bar""), ""foo"", ""bar"");
    assertExists(lookup(""/work/four/six/two/three""), ""two"", ""three"");

    // NOFOLLOW_LINKS doesn't affect intermediate symlinks
    assertExists(lookup(""/work/four/five/bar"", NOFOLLOW_LINKS), ""foo"", ""bar"");
    assertExists(lookup(""/work/four/six/two/three"", NOFOLLOW_LINKS), ""two"", ""three"");
  }",Mystery Guest
"@Test
  public void testLookup_absolute_parentExists() throws IOException {
    assertParentExists(lookup(""/a""), ""/"");
    assertParentExists(lookup(""/foo/baz""), ""foo"");
    assertParentExists(lookup(""$c""), ""$"");
    assertParentExists(lookup(""$a/b/c/d""), ""c"");
  }",Mystery Guest
"@Test
  public void testLookup_nonExistentRoot() throws IOException {
    try {
      lookup(""!"");
      fail();
    }",No Smells
"@Test
  public void testLookup_relative_emptyPath() throws IOException {
    assertExists(lookup(""""), ""/"", ""work"");
  }",No Smells
"@Test
  public void testFullDisk() throws IOException {
    HeapDisk disk = new HeapDisk(4, 10, 4);
    disk.allocate(blocks, 10);

    try {
      disk.allocate(blocks, 1);
      fail();
    }",No Smells
"@Test
  public void testFullDisk_doesNotAllocatePartiallyWhenTooManyBlocksRequested() throws IOException {
    HeapDisk disk = new HeapDisk(4, 10, 4);
    disk.allocate(blocks, 6);

    RegularFile blocks2 = RegularFile.create(-2, fileTimeSource.now(), disk);

    try {
      disk.allocate(blocks2, 5);
      fail();
    }",Mystery Guest
"@Test
  public void testInitialSettings_fromConfiguration() {
    Configuration config =
        Configuration.unix().toBuilder()
            .setBlockSize(4)
            .setMaxSize(99) // not a multiple of 4
            .setMaxCacheSize(25)
            .build();

    HeapDisk disk = new HeapDisk(config);

    assertThat(disk.blockSize()).isEqualTo(4);
    assertThat(disk.getTotalSpace()).isEqualTo(96);
    assertThat(disk.getUnallocatedSpace()).isEqualTo(96);
    assertThat(disk.blockCache.blockCount()).isEqualTo(0);
  }",No Smells
"@Test
  public void testAsyncChannel() throws Throwable {
    RegularFile file = regularFile(15);
    ExecutorService executor = Executors.newSingleThreadExecutor();
    JimfsAsynchronousFileChannel channel = channel(file, executor, READ, WRITE);

    try {
      assertEquals(15, channel.size());

      assertSame(channel, channel.truncate(5));
      assertEquals(5, channel.size());

      file.write(5, new byte[5], 0, 5);
      checkAsyncRead(channel);
      checkAsyncWrite(channel);
      checkAsyncLock(channel);

      channel.close();
      assertFalse(channel.isOpen());
    }",Mystery Guest
